feature,importance_mean,importance_std
hold_1545_foot,0.0,0.0
hold_1147_hand,0.0,0.0
hold_1197_start,0.0,0.0
hold_1520_foot,0.0,0.0
hold_1159_foot,0.0,0.0
hold_1124_foot,0.0,0.0
hold_1108_foot,0.0,0.0
hold_1234_start,0.0,0.0
hold_1198_start,0.0,0.0
hold_1247_foot,0.0,0.0
hold_1255_foot,0.0,0.0
hold_1150_start,0.0,0.0
hold_1093_foot,0.0,0.0
hold_1164_hand,0.0,0.0
hold_1597_hand,0.0,0.0
hold_1388_hand,0.0,0.0
hold_1167_hand,0.0,0.0
hold_1225_hand,0.0,0.0
hold_1535_foot,0.0,0.0
hold_1358_hand,0.0,0.0
hold_1251_hand,0.0,0.0
hold_1220_start,0.0,0.0
hold_1082_foot,0.0,0.0
hold_1215_start,0.0,0.0
hold_1160_foot,0.0,0.0
hold_1254_start,0.0,0.0
hold_1244_start,0.0,0.0
hold_1251_start,0.0,0.0
hold_1309_foot,0.0,0.0
hold_1277_start,0.0,0.0
hold_4699_finish,0.0,0.0
hold_1574_foot,0.0,0.0
hold_1546_foot,0.0,0.0
hold_1383_hand,0.0,0.0
hold_1512_hand,0.0,0.0
hold_1389_hand,0.0,0.0
hold_1282_foot,0.0,0.0
hold_1278_foot,0.0,0.0
hold_1271_foot,0.0,0.0
hold_1145_start,0.0,0.0
hold_1222_start,0.0,0.0
hold_1211_hand,0.0,0.0
hold_1179_start,0.0,0.0
hold_1185_hand,0.0,0.0
hold_1141_start,0.0,0.0
hold_1294_foot,0.0,0.0
hold_1296_hand,0.0,0.0
hold_1260_hand,0.0,0.0
hold_1581_foot,0.0,0.0
hold_1565_foot,0.0,0.0
hold_1360_hand,0.0,0.0
hold_1111_foot,0.0,0.0
hold_1252_start,0.0,0.0
hold_1525_start,0.0,0.0
hold_1223_foot,0.0,0.0
hold_1196_foot,0.0,0.0
hold_1294_start,0.0,0.0
hold_1288_foot,0.0,0.0
hold_1095_foot,0.0,0.0
hold_1122_foot,0.0,0.0
hold_1258_start,0.0,0.0
hold_1123_start,0.0,0.0
hold_1531_hand,0.0,0.0
hold_1380_hand,0.0,0.0
hold_1171_hand,0.0,0.0
hold_1135_foot,0.0,0.0
hold_1095_start,0.0,0.0
hold_1586_foot,0.0,0.0
hold_1224_start,0.0,0.0
hold_1539_hand,0.0,0.0
hold_1583_foot,0.0,0.0
hold_4694_hand,0.0,0.0
hold_1393_hand,0.0,0.0
hold_1115_foot,0.0,0.0
hold_1147_foot,0.0,0.0
hold_1382_hand,0.0,0.0
hold_1168_hand,0.0,0.0
hold_1139_start,0.0,0.0
hold_1105_foot,0.0,0.0
hold_1206_start,0.0,0.0
hold_1250_start,0.0,0.0
hold_1345_finish,0.0,0.0
hold_1249_start,0.0,0.0
hold_1266_foot,0.0,0.0
hold_1341_finish,0.0,0.0
hold_1177_foot,0.0,0.0
hold_1248_foot,0.0,0.0
hold_1277_hand,0.0,0.0
hold_1178_hand,0.0,0.0
hold_1156_foot,0.0,0.0
hold_1227_start,0.0,0.0
hold_1094_foot,0.0,0.0
hold_1331_finish,0.0,0.0
hold_1142_hand,0.0,0.0
hold_1573_foot,0.0,0.0
hold_1209_start,0.0,0.0
hold_1229_start,0.0,0.0
hold_1269_foot,0.0,0.0
hold_4824_foot,0.0,0.0
hold_4760_start,0.0,0.0
hold_1350_finish,0.0,0.0
hold_1209_hand,0.0,0.0
hold_1267_start,0.0,0.0
hold_1236_foot,0.0,0.0
hold_1480_start,0.0,0.0
hold_1176_hand,0.0,0.0
hold_1226_start,0.0,0.0
hold_1485_start,0.0,0.0
hold_1102_foot,0.0,0.0
hold_1208_hand,0.0,0.0
hold_1184_foot,0.0,0.0
hold_1180_foot,0.0,0.0
hold_4706_start,0.0,0.0
hold_1202_start,0.0,0.0
hold_1268_foot,0.0,0.0
hold_4741_start,0.0,0.0
hold_1493_start,0.0,0.0
hold_1211_start,0.0,0.0
hold_1172_foot,0.0,0.0
hold_1308_finish,0.0,0.0
hold_1149_foot,0.0,0.0
hold_1593_foot,0.0,0.0
hold_1148_hand,0.0,0.0
hold_1137_start,0.0,0.0
hold_1079_foot,0.0,0.0
hold_1076_foot,0.0,0.0
hold_1532_foot,0.0,0.0
hold_1195_foot,0.0,0.0
hold_1161_hand,0.0,0.0
hold_1267_foot,0.0,0.0
hold_1173_foot,0.0,0.0
hold_1175_hand,0.0,0.0
hold_1226_hand,0.0,0.0
hold_1352_finish,0.0,0.0
hold_1521_start,0.0,0.0
hold_1596_hand,0.0,0.0
hold_1268_start,0.0,0.0
hold_1310_hand,0.0,0.0
hold_4775_finish,0.0,0.0
hold_1269_start,0.0,0.0
hold_1498_start,0.0,0.0
hold_1584_foot,0.0,0.0
hold_1136_foot,0.0,0.0
hold_1512_start,0.0,0.0
hold_1178_foot,0.0,0.0
hold_1302_foot,0.0,0.0
hold_1520_start,0.0,0.0
hold_1324_foot,0.0,0.0
hold_1275_foot,0.0,0.0
hold_1098_start,0.0,0.0
hold_1533_hand,0.0,0.0
hold_1198_foot,0.0,0.0
hold_4718_finish,0.0,0.0
hold_1302_finish,0.0,0.0
hold_1270_foot,0.0,0.0
hold_1484_start,0.0,0.0
hold_4753_hand,0.0,0.0
hold_1318_foot,0.0,0.0
hold_1307_foot,0.0,0.0
hold_1377_finish,0.0,0.0
hold_1232_foot,0.0,0.0
hold_1108_start,0.0,0.0
hold_1155_hand,0.0,0.0
hold_1515_start,0.0,0.0
hold_1509_start,0.0,0.0
hold_1542_start,0.0,0.0
hold_1100_foot,0.0,0.0
hold_1098_foot,0.0,0.0
hold_1112_start,0.0,0.0
hold_1365_finish,0.0,0.0
hold_1368_finish,0.0,0.0
hold_1234_foot,0.0,0.0
hold_1567_foot,0.0,0.0
hold_1487_start,0.0,0.0
hold_4780_start,0.0,0.0
hold_4746_hand,0.0,0.0
hold_1179_foot,0.0,0.0
hold_1117_foot,0.0,0.0
hold_1507_start,0.0,0.0
hold_1378_finish,0.0,0.0
hold_1173_start,0.0,0.0
hold_1559_hand,0.0,0.0
hold_1576_foot,0.0,0.0
hold_1514_start,0.0,0.0
hold_1571_foot,0.0,0.0
hold_1523_hand,0.0,0.0
hold_1111_start,0.0,0.0
hold_1287_foot,0.0,0.0
hold_1232_start,0.0,0.0
hold_1575_foot,0.0,0.0
hold_1347_finish,0.0,0.0
hold_1194_hand,0.0,0.0
hold_1274_start,0.0,0.0
hold_1233_start,0.0,0.0
hold_1284_foot,0.0,0.0
hold_1364_hand,0.0,0.0
hold_1236_start,0.0,0.0
hold_1218_foot,0.0,0.0
hold_1243_foot,0.0,0.0
hold_1129_foot,0.0,0.0
hold_1273_foot,0.0,0.0
hold_1289_start,0.0,0.0
hold_1123_foot,0.0,0.0
hold_1495_start,0.0,0.0
hold_1276_start,0.0,0.0
hold_1205_hand,0.0,0.0
hold_1340_finish,0.0,0.0
hold_1589_foot,0.0,0.0
hold_1302_start,0.0,0.0
hold_1262_hand,0.0,0.0
hold_1305_foot,0.0,0.0
hold_4747_hand,0.0,0.0
hold_1551_hand,0.0,0.0
hold_1254_foot,0.0,0.0
hold_1093_start,0.0,0.0
hold_1308_foot,0.0,0.0
hold_1275_hand,0.0,0.0
hold_1374_finish,0.0,0.0
hold_1477_start,0.0,0.0
hold_1558_hand,0.0,0.0
hold_1516_start,0.0,0.0
hold_1569_foot,0.0,0.0
hold_1505_start,0.0,0.0
hold_1503_start,0.0,0.0
hold_1361_finish,0.0,0.0
hold_1577_foot,0.0,0.0
hold_4684_start,0.0,0.0
hold_1144_hand,0.0,0.0
hold_1303_foot,0.0,0.0
hold_1543_start,0.0,0.0
hold_1598_foot,0.0,0.0
hold_1140_start,0.0,0.0
hold_1294_finish,0.0,0.0
hold_1205_start,0.0,0.0
hold_1241_start,0.0,0.0
hold_1216_foot,0.0,0.0
hold_1218_start,0.0,0.0
hold_1202_foot,0.0,0.0
hold_1219_start,0.0,0.0
hold_1349_finish,0.0,0.0
hold_1354_finish,0.0,0.0
hold_1207_start,0.0,0.0
hold_1231_start,0.0,0.0
hold_1376_finish,0.0,0.0
hold_1392_hand,0.0,0.0
hold_1386_hand,0.0,0.0
hold_1182_foot,0.0,0.0
hold_1274_foot,0.0,0.0
hold_1255_start,0.0,0.0
hold_1132_foot,0.0,0.0
hold_1249_foot,0.0,0.0
hold_1101_foot,0.0,0.0
hold_4836_foot,0.0,0.0
hold_1166_hand,0.0,0.0
hold_1106_start,0.0,0.0
hold_1289_foot,0.0,0.0
hold_1540_start,0.0,0.0
hold_1248_start,0.0,0.0
hold_1195_start,0.0,0.0
hold_1328_hand,0.0,0.0
hold_1313_hand,0.0,0.0
hold_1301_hand,0.0,0.0
hold_1297_hand,0.0,0.0
hold_1220_hand,0.0,0.0
hold_1216_start,0.0,0.0
hold_1190_foot,0.0,0.0
hold_1149_start,0.0,0.0
hold_1561_foot,0.0,0.0
hold_1500_foot,0.0,0.0
hold_1499_foot,0.0,0.0
hold_1273_hand,0.0,0.0
hold_1390_finish,0.0,0.0
hold_1292_hand,0.0,0.0
hold_1542_foot,0.0,0.0
hold_1515_foot,0.0,0.0
hold_1196_start,0.0,0.0
hold_1180_hand,0.0,0.0
hold_1088_foot,0.0,0.0
hold_1084_foot,0.0,0.0
hold_1558_foot,0.0,0.0
hold_1525_hand,0.0,0.0
hold_1519_foot,0.0,0.0
hold_1503_foot,0.0,0.0
hold_1473_foot,0.0,0.0
