feature,importance_mean,importance_std
hold_1200_foot,0.0035291943475936225,0.0015856643710891753
hold_1163_hand,0.0034982674078148255,0.0013541204718385057
hold_1131_foot,0.003144301669068006,0.001072869034168266
hold_1239_hand,0.003134263473219412,0.0016051071774165712
hold_1096_foot,0.003116922713385817,0.0023189353820485593
hold_1356_hand,0.0030184974176355127,0.0024218171641244976
hold_1219_hand,0.002990063841740409,0.0017118346770855393
hold_1240_hand,0.0029393844389916436,0.0013589625552947575
hold_1196_hand,0.002890219004949035,0.0016757558997521462
hold_1322_hand,0.0027017903599475313,0.001907160720153392
hold_1247_hand,0.002685547082954054,0.003452129652691729
hold_1175_start,0.002674677322705721,0.0009381171060249254
hold_1216_hand,0.0026065782100625824,0.00215203264246795
hold_1200_start,0.0025664655011231607,0.0016628374569582144
hold_1503_start,0.0025370516439280344,0.0015648392629151462
hold_1205_hand,0.002535187035004416,0.0012332972273621792
hold_1124_foot,0.0025056288291349428,0.0008741973342276438
hold_1238_hand,0.0025046878839864784,0.0012918836885863487
hold_1260_hand,0.0024728308567736777,0.002370759606532692
hold_1285_hand,0.0024687435736922446,0.0013365409091397173
hold_1166_start,0.002449020806153812,0.0011466846924156958
hold_1142_start,0.00244823094619655,0.0017679554949217562
hold_1222_hand,0.0024239817982251166,0.0016556535171257632
hold_1372_hand,0.002368924922810689,0.0027547800135489433
hold_1357_hand,0.002333224657906574,0.0012183206442402358
hold_1286_hand,0.0023231211356322446,0.0017923715091835925
hold_1192_hand,0.0022820682513715385,0.0015455367086929135
hold_1200_hand,0.0022540186573401177,0.0029673033961026252
hold_1577_hand,0.0022073841795656967,0.0015359952879627865
hold_1576_hand,0.0021960443064902744,0.0018471425171094386
hold_1150_foot,0.0021456813621522296,0.0009464170995942017
hold_1314_hand,0.0020923055965371474,0.0013559956234079084
hold_1270_hand,0.0020390188315181357,0.0012317112856228389
hold_1203_hand,0.002007050731182258,0.0009749725426991083
hold_1597_hand,0.0019446183244388627,0.0005801884573774475
hold_1383_finish,0.0019035261101194578,0.0009769538851378409
hold_1302_start,0.0018703307649825085,0.0006725754358069621
hold_1127_start,0.0018283119679822547,0.0005778289827557126
hold_1084_foot,0.0018184405431483919,0.000752455627243296
hold_1368_hand,0.0018165642513170432,0.0007285720184785383
hold_1390_finish,0.0018072609982227705,0.0006533893508015899
hold_1223_hand,0.0017055380551021404,0.0014680129932847323
hold_1387_finish,0.0016447122751342969,0.001266530748237108
hold_1301_hand,0.0016429911483659687,0.0021180456231910364
hold_1246_hand,0.0016175209860008533,0.0006569439553297872
hold_1271_hand,0.0016018124506210097,0.0018812567527386175
hold_1338_hand,0.001589269206126631,0.0006251655794540067
hold_1189_hand,0.0015820132542981424,0.0009209478722321333
hold_1245_hand,0.0015763943681452951,0.000980717564343452
hold_1220_hand,0.001572345960537702,0.000702728394075939
hold_1475_foot,0.0015710368328625268,0.0012061396608419033
hold_1325_hand,0.0015636760172579977,0.0010042345885690719
hold_1510_foot,0.0015306652057172742,0.0011660541799869354
hold_1205_start,0.0015218102259107135,0.0017434854323537137
hold_1522_foot,0.0015216761140029122,0.0007569066664325245
hold_1500_foot,0.0015110643744469688,0.00046901861357931114
